Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2016,    02,  07,     14.173,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160207_f17_nrt_n.bin
2016,    02,  08,     14.255,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160208_f17_nrt_n.bin
2016,    02,  09,     14.267,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160209_f17_nrt_n.bin
2016,    02,  10,     14.163,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160210_f17_nrt_n.bin
2016,    02,  11,     14.087,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160211_f17_nrt_n.bin
2016,    02,  12,     14.156,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160212_f17_nrt_n.bin
2016,    02,  13,     14.204,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160213_f17_nrt_n.bin
2016,    02,  14,     14.208,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160214_f17_nrt_n.bin
2016,    02,  15,     14.249,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160215_f17_nrt_n.bin
2016,    02,  16,     14.223,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160216_f17_nrt_n.bin
2016,    02,  17,     14.131,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160217_f17_nrt_n.bin
2016,    02,  18,     14.120,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160218_f17_nrt_n.bin
2016,    02,  19,     14.175,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160219_f17_nrt_n.bin
2016,    02,  20,     14.178,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160220_f17_nrt_n.bin
2016,    02,  21,     14.198,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160221_f17_nrt_n.bin
2016,    02,  22,     14.142,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160222_f17_nrt_n.bin
2016,    02,  23,     14.170,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160223_f17_nrt_n.bin
2016,    02,  24,     14.307,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160224_f17_nrt_n.bin
2016,    02,  25,     14.366,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160225_f17_nrt_n.bin
2016,    02,  26,     14.409,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160226_f17_nrt_n.bin
2016,    02,  27,     14.427,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160227_f17_nrt_n.bin
2016,    02,  28,     14.525,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160228_f17_nrt_n.bin
2016,    02,  29,     14.557,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160229_f17_nrt_n.bin
2016,    03,  01,     14.443,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160301_f17_nrt_n.bin
2016,    03,  02,     14.436,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160302_f17_nrt_n.bin
2016,    03,  03,     14.380,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160303_f17_nrt_n.bin
2016,    03,  04,     14.321,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160304_f17_nrt_n.bin
2016,    03,  05,     14.381,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160305_f17_nrt_n.bin
2016,    03,  06,     14.358,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160306_f17_nrt_n.bin
2016,    03,  07,     14.380,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160307_f17_nrt_n.bin
2016,    03,  08,     14.395,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160308_f17_nrt_n.bin
